Acronym (Mandatory),Stands For (Mandatory),Url,Description,State (Mandatory),Last Modified,Last Modified By,Id
DAP,Delegated Administrative Privileges. See Technical Support for Microsoft Partners  .,https://support.microsoft.com/en-in/help/4020188/technical-support-for-microsoft-partners,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,30401ffc-a2b3-460d-a798-c47a819f3f3f
DCR,Design Change Request.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,7b994ab9-239c-4e58-936d-41b50852e4e6
DL,Distribution List. An email distribution list for people active in a particular technology.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,70a34e1b-4b7b-475d-818d-fab68158d6fc
DPC,Device Partner Center. See DPC Quick Start Guide  .,https://support.microsoft.com/en-in/help/4020188/technical-support-for-microsoft-partners,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,a8bd5a9d-d8d2-4c0b-b120-f2bbbe5659e4
DTS,Data Transports and Security team. A team in the Windows and Devices Group. See Announcing: New Transport Advancements in the Anniversary Update for Windows 10 and Windows Server 2016  .,https://blogs.technet.microsoft.com/networking/2016/07/18/announcing-new-transport-advancements-in-the-anniversary-update-for-windows-10-and-windows-server-2016/,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,bc0c4809-90fa-4ade-bfcb-75d6d882ac44
DX,Developer eXperience and Evangelism.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,2d35ef93-e86d-444f-85cc-99d7428087ba
EAP,Early Adopter Program.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,2e987f75-0379-4c40-b739-21d26957f60e
ECO,"Engineering + Community Online. Software environment that hosts the Microsoft Community (formerly known as Answers) forums. The Engineering + Community Online group is responsible for maintaining the platform as a whole, applying fixes, and responding to incidents and outages.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,15ee5abd-340c-490a-9b57-e2a89dbed7b0
EMEA,"Europe, Middle Eeast, and Africa.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,dc403ffc-1e0f-4457-9bb3-65760c3adbb2
EPX,"Enabling Platform Experience. This is the group within Microsoft that is responsible for the forum software. The EPX Platform is the software environment that hosts the TechNet and MSDN forums. The Enabling Platform Experience group is responsible for maintaining the platform as a whole, applying fixes, and responding to incidents and outages.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,f90cd05e-e5a9-4fb9-8f5e-f2223b6246be
ERG,Employee Resource Group. Groups of Microsoft employees with something in common.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,d5ce6f24-f80d-4df3-b1b1-6040f9d67fd6
ESU,Extended Security Updates. Program to support customers who need to run certain legacy Microsoft products. See Lifecycle FAQ-Extended Security Updates  .,https://support.microsoft.com/en-us/help/4497181/lifecycle-faq-extended-security-updates,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,4908d666-b5da-4f8f-b3f8-60635cd3ee98
FPP,"Full-Package Product. See Licensing Logic: What's the difference between OEM, Retail and Volume Licenses?",https://blogs.technet.microsoft.com/uktechnet/2013/05/14/licensing-logic-whats-the-difference-between-oem-retail-and-volume-licenses/,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,189020b5-b118-481f-bdc0-052c06412081
FTE,Full Time Equivalent. A full time Microsoft employee or contractor.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,5e8492fd-504f-4b72-b4ca-54d192dcde20
GA,General Availability. Software available for purchase by the public. After the Release To Manufacturing (RTM) stage.,https://blogs.technet.microsoft.com/uktechnet/2013/05/14/licensing-logic-whats-the-difference-between-oem-retail-and-volume-licenses/,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,3e5030cd-c744-48d3-b768-241d1635e3f8
GPM,Group Program Manager.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,a6d045b7-acc0-4c68-9654-9667f2d56880
GTI,Get To Integration.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,e0054f27-73c2-4650-b3d8-1fc9ed190155
GTP,Get To Production.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,3dfd8dbe-220a-48b0-9a22-fcee428a2126
ITA,Microsoft IT Academy.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,76044e6c-9a8b-4405-80a9-9dbb300748e6
ITDM,Information Technology Decision Maker.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,14ae32fd-0bca-4047-89ff-905d48f9c8cb
LOEM,"Local Named Original Equipment Mufacturer. A company that produces or distributes Windows devices, products, or services within a regional geography.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,b80c4d76-ecd1-4481-a7c1-26ade14127a6
LTSC,Long-Term Servicing Channel. Option to receive feature updates with 5 years of mainstream support and 5 years of extended support. See What's New in Windows Server version 1709  .,https://docs.microsoft.com/en-us/windows-server/get-started/whats-new-in-windows-server-1709,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,7f65289b-4ce7-4071-a1d7-fc49bd143aed
MACH,"Microsoft Academy College Hire. Also, variations such as Microsoft Academy of College Hires.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,d66a8c13-e280-4a17-aeed-109ce8dceaa4
MAR,Microsoft Authorized Refurbisher. A company that refurbishes computers with Genuine Microsoft software.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,b909f808-965f-4eb0-944e-48138f11df4f
MAU,Monthly Active Users.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,76c9749b-dbfb-4acd-94b5-69aaf1cb7839
MBS,Microsoft Business Solutions.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,1167f0f5-10e6-4338-9c87-3f69969f16e9
MCAD,"Microsoft Certified Application Developer, a Microsoft certification.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,e9ce9768-2a46-4d0d-a2a7-a945546b5f99
MCC,"Microsoft Community Contributor. A Microsoft award to ""recognize notable contributions to Microsoft online community forums such as TechNet, MSDN, O365 and Microsoft Community."" See Differences Between the MVP and MCC Awards.",https://social.technet.microsoft.com/wiki/contents/articles/4913.differences-between-the-mvp-and-mcc-awards.aspx,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,94c1a4d4-3807-4509-a556-bf63a9b70d0c
MCDBA,"Microsoft Certified DataBase Administrator, a Microsoft certification.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,8294af9b-a3d8-46a5-8bb2-5c22f8e960f2
MCITP,"Microsoft Certified IT Professional, a Microsoft certification.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,50567e37-1b72-4ce2-a888-7d1f0688e41b
MCP,Microsoft Certified Professional. See Microsoft Certified Professional  .,https://en.wikipedia.org/wiki/Microsoft_Certified_Professional,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,0a97bacd-695f-46f9-a95a-cb8d2006c61e
MCPD,"Microsoft Certified Professional Developer, a Microsoft certification.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,86d9beb0-2f45-48f3-af72-9306cdd8368f
MCSA,"Microsoft Certified Solutions Associate, a Microsoft certification.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,dde69ca0-2ef4-42fe-8e98-ac74347af399
MCSD,"Microsoft Certified Solutions Developer, a Microsoft certification.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,925e34cf-aa8d-4920-ac50-7d01e36d3775
MCSE,"Microsoft Certified Solutions Expert, a Microsoft certification.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,17dde00d-a0a8-418b-b55b-e26a8456fc7d
MCT,Microsoft Certified Trainer.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,89e86a04-a687-4a81-adb4-c89607ec89d7
MCTS,"Microsoft Certified Technical Specialist, a Microsoft certification.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,3126bc8e-3a58-4984-9484-8bf3cae64181
MEA,Middle East and Africa.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,53acb7f3-1df4-41ab-bb4a-fa6fcd371867
ML,Management License. See Client Access Licenses and Management Licenses  .,https://en.wikipedia.org/wiki/Microsoft_Certified_Professional,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,da36f129-c20a-4e4c-b355-a1d51128ab93
MNA,Multi-National Account. An account that produces or distributes products or services in one or more countries or regions.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,38c713f2-963d-400b-b940-ef062e5d7751
MOS,"Microsoft Office Specialist, a Microsoft certification.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,9e5e4c8f-9db4-4419-801a-1e735522cb94
MPN,Microsoft Partner Network. See See how the Microsoft Partner program works for you  .,https://partner.microsoft.com/en-us/membership/how-it-works,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,2bc36346-ab34-4f4c-b221-b9b3c8cf1370
MS,"MicroSoft. Often used in conjunction with other acronyms or terms, such as MSDN or MS Office.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,bd2ed9df-ff5f-4293-927f-e788472f3577
MSA,MicroSoft Account. Formerly known as a Windows Live ID or Microsoft Passport account. See Microsoft account FAQ  .,https://www.microsoft.com/en-us/account/faq.aspx,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,0b57a020-22be-4c7d-b3fb-1e611323287a
MSDN,MicroSoft Developer Network. See Microsoft Developer Network  .,https://en.wikipedia.org/wiki/MSDN,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,10683b08-055e-4b7c-80f1-a22f1cb1e42e
MSFT,MicroSoFT,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,b6b89a55-c44e-4888-8a35-a3721b3de1a6
MSIDC,MicroSoft India Development Center.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,e5368f34-0cdf-45e5-b58e-71cd6f7a8c43
MSRC,Microsoft Security Response Center.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,a3d21a29-6c60-4eef-a10c-259b02afa31b
MVA,"Microsoft Virtual Academy. Free online, on-demand courses for developers, IT professionals, data scientists, and students. See Introducing Microsoft Virtual Academy  .",https://msdn.microsoft.com/en-us/microsoft-virtual-academy-msdn.aspx,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,2ee25384-9a32-4747-a4f1-5c92c0fba728
MVP,"Most Valuable Professional. A Microsoft award program to recognize ""exceptional, independent community leaders who share their passion, technical expertise, and real-world knowledge of Microsoft products with others"". See Most Valuable Professional  .",https://mvp.microsoft.com/en-us/overview.aspx,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,373d6b83-0dce-4667-925f-5887cc9be053
NDA,"Non Disclosure Agreement. People external to Microsoft, such MVP's, must sign an NDA before they can engage in communications with Microsoft involving non-public information, such as product features planned for the future.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,a0fcdde5-5fe6-4746-85ef-117c405b6578
OBO,On Behalf Of. See Technical Support for Microsoft Partners  .,https://mvp.microsoft.com/en-us/overview.aspx,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,2042d62d-5a19-4551-ae5d-15845611253f
ODM,Original Design Manufacturer. Partners that produce and distribute white-box devices down-channel to be branded by channel partners.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,0b09b3cc-4a4d-4a39-ac79-83c664f2b0bb
OP,Original Poster. The person that started the thread in a forum. This person either asked the original question or started the discussion.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,8e3b4968-7573-470d-a799-5aacbfc146b1
OSS,Open Source Software.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,b4bdaf44-e74f-4697-be29-b1c69249bdc5
OST,"Online Services Terms. When you subscribe to an Online Service through a Microsoft Volume Licensing program, the terms for how you can use the service are defined in the Volume Licensing Online Services Terms (OST) document and program agreement. See Product Terms  .",https://www.microsoft.com/en-us/licensing/product-licensing/products.aspx,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,2e2d4a5c-6692-4a70-9927-b92fcbc4a1bd
PFE,"Premier Field Engineer, or Premier Field Engineering. See Premier Field Engineering (PFE).",https://social.technet.microsoft.com/wiki/contents/articles/11841.premier-field-engineering-pfe.aspx,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,da39ff81-d6e3-424d-8a08-5d04fe74dd74
PG,"Product Group. Microsoft employees responsible for a product, such as SQL Server or BizTalk.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,6e2a3665-d7a3-45cb-8f63-2f0c34318f0f
PGI,"Product Group Interaction. An event for invited guests to participate in an online discussion with members of a Microsoft product group, such as Active Directory or SharePoint.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,78183651-7684-424e-8661-eed727559a89
PII,"Personally Identifiable Information. PII consists of any data that can be traced back to a unique individual, or could be used to compromise an individual or organization. Examples include email addresses, phone numbers, or credit card numbers. This also includes network configuration information, like domain names or IP addresses.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,fe395e30-4bf9-43c2-b2e4-0cbef1882751
PM,Program Manager. See What Does a Microsoft Program Manager Really Do? – Demystifying the PM Role  .,https://blogs.msdn.microsoft.com/farshid/2007/05/10/what-does-a-microsoft-program-manager-really-do-demystifying-the-pm-role/,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,ee647de4-4bb6-427e-bf1b-17ea053f38cd
POC,Proof of Concept.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,a48ee161-2468-46f6-9ae7-ea3cf0913aa8
PP,Public Preview.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,66a2722b-ba96-4ebf-aea5-1ffa0513e701
Q&A,Questions & Answers. Microsoft forum site. See Introducing Microsoft Q&A (Preview)  .,https://docs.microsoft.com/en-us/teamblog/introducing-microsoft-qanda,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,1bd63d48-0209-4129-b6bc-95692cbd4087
RC,Release Candidate. A beta version of software that is ready to be released as the final product (if there are no unexpected problems). The next stage would be Release to Manufacturing (RTM). See Software release life cycle  .,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,e71ba2b9-3bc5-46c7-8513-c379740c4638
RD,Regional Director. See Who are the Microsoft Regional Directors?  .,https://docs.microsoft.com/en-us/teamblog/introducing-microsoft-qanda,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,3a30920d-9e57-44cd-b6af-5a5dd2a043a1
RTM,Release To Manufacturing. Software ready to be delivered. RTM is followed by General Availability (GA). See Software release life cycle  .,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,259c857d-cb74-4597-adb3-943443c17722
